country,Trade Balance (% of GDP),Government Revenue (% of GDP),GDP per Capita (in USD),Military Expenditure (in million USD),Int'l Tourist Arrivals,Dog Ownership,Cat Ownership,Bird Ownership,Aquaria Ownership,Smal Mammal Ownership,Terraria Ownership,Movie Production,Global Box Office (in USD),Air Quality,Hapiness Score,Life expectancy at birth,Mean years of schooling,Income per capita,Gender Inequality Index
Turkey,-5.38,26.41,33284.4,15478.85,15971000,1386000,4660000,11291000,850000,808000,157000,"1,244","1,065,088,786",23.25,,76,8.6,"31,033",0.272
Turkmenistan,5.66,10.9,16141.34,,,,,,,,,,,26.41,,69.3,11.3,"13,021",0.177
Tuvalu,4.11,123.63,4552.86,,,,,,,,,,,6.81,,64.5,10.6,"6,351",  
Uganda,-8.11,14.93,2563.2,1066.56,473000,,,,,,,7,"61,510",31.31,4.432,62.7,5.7,"2,181",0.53
Ukraine,5.68,53.24,10722.11,5942.78,3382000,4984000,7630000,784000,450000,899000,903000,85,"106,302,954",13.51,5.071,71.6,11.1,"13,256",0.2
United Arab Emirates,11.75,35.4,70909.85,,8084000,,,,,,,50,"539,368,692",41.75,6.571,78.7,12.7,"62,574",0.049
United Kingdom,-5.55,38.88,46406.96,68366.44,11101000,13000000,12000000,1600000,8000000,,2200000,"4,455","55,920,874,223",9.52,6.796,80.7,13.4,"45,225",0.098
United States,-3.63,32.99,64660.93,800672.2,45037000,69929000,74059000,8300000,,,,"24,328","631,243,223,863",7.18,6.894,77.2,13.7,"64,765",0.179
Uruguay,-2.46,26.92,23058.63,1257.92,,,,,,,,55,"169,200,779",8.48,6.494,75.4,9,"21,269",0.235
Uzbekistan,1.44,29.44,8159.45,,,,,,,,,4,"270,968",40.98,6.014,70.9,11.9,"7,917",0.227
Vanuatu,-2.18,38.06,2447.51,,82400,,,,,,,2,"574,050",8.42,,70.4,7.1,"3,085",  
Venezuela,3.46,5.96,6148.01,,,,,,,,,28,"56,326,599",16.21,5.211,70.6,11.1,"4,811",0.492
Vietnam,-0.88,18.27,11250.46,,3837000,,,,,,,,,20.89,5.763,73.6,8.4,"7,867",0.296
West Bank and Gaza,-12.45,27.57,5393.48,,,,,,,,,,,,4.908,73.5,9.9,"6,583",  
Yemen,-9.63,10.94,1711.91,,,,,,,,,5,"2,466,867",41.61,,63.8,3.2,"1,314",0.82
Zambia,2.36,20.83,3257.1,282.58,502000,,,,,,,1,0,16.9,3.982,61.2,7.2,"3,218",0.54
Zimbabwe,0.81,15.96,2136.73,65.8,639000,,,,,,,1,"25,038",13.08,3.204,59.3,8.7,"3,810",0.532
