country,trade_balance_perGDP,gov_revenue_perGDP,GDP per capita (in USD),military_expenditure_mil,number-of-visitors,dog,cat,bird,aquaria,small-mammal,terraria,number-of-movies,global-box-office-usd
Tonga,-6.32,45.24,5662.8,,,,,,,,,,
Trinidad and Tobago,18.86,29.31,25471.13,207.68,141000,,,,,,,4,0
Tunisia,-8.55,28.31,10775.71,1250.45,2012000,,,,,,,27,"24,94,67,149"
Turkey,-5.38,26.41,33284.4,15478.85,15971000,1386000,4660000,11291000,850000,808000,157000,"1,244","1,06,50,88,786"
Turkmenistan,5.66,10.9,16141.34,,,,,,,,,,
Tuvalu,4.11,123.63,4552.86,,,,,,,,,,
Uganda,-8.11,14.93,2563.2,1066.56,473000,,,,,,,7,"61,510"
Ukraine,5.68,53.24,10722.11,5942.78,3382000,4984000,7630000,784000,450000,899000,903000,85,"10,63,02,954"
United Arab Emirates,11.75,35.4,70909.85,,8084000,,,,,,,50,"53,93,68,692"
United Kingdom,-5.55,38.88,46406.96,68366.44,11101000,13000000,12000000,1600000,8000000,,2200000,"4,455","55,92,08,74,223"
United States,-3.63,32.99,64660.93,800672.2,45037000,69929000,74059000,8300000,,,,"24,328","6,31,24,32,23,863"
Uruguay,-2.46,26.92,23058.63,1257.92,,,,,,,,55,"16,92,00,779"
Uzbekistan,1.44,29.44,8159.45,,,,,,,,,4,"2,70,968"
Vanuatu,-2.18,38.06,2447.51,,82400,,,,,,,2,"5,74,050"
Venezuela,3.46,5.96,6148.01,,,,,,,,,28,"5,63,26,599"
Vietnam,-0.88,18.27,11250.46,,3837000,,,,,,,,
West Bank and Gaza,-12.45,27.57,5393.48,,,,,,,,,,
Yemen,-9.63,10.94,1711.91,,,,,,,,,5,"24,66,867"
Zambia,2.36,20.83,3257.1,282.58,502000,,,,,,,1,0
Zimbabwe,0.81,15.96,2136.73,65.8,639000,,,,,,,1,"25,038"
